Sample Name,Site Code,Sample Type
hja2016_001,50,Stream
hja2016_002,WS3-1,Stream
hja2016_003,WS1-7,Hyporheic
hja2016_005,50,Hyporheic
hja2016_008,WS3-1,Hyporheic
hja2016_009,60,Hyporheic
hja2016_010,164,Stream
hja2016_011,WS1-6,Stream
hja2016_013,WS1-4,Stream
hja2016_014,WS1-6,Hyporheic
hja2016_015,47,Hyporheic
hja2016_016,74,Hyporheic
hja2016_018,WS1-5,Hyporheic
hja2016_019,155,Hyporheic
hja2016_020,WS1-2,Hyporheic
hja2016_021,156,Hyporheic
hja2016_027,WS3-6,Stream
hja2016_029,192,Stream
hja2016_030,190,Stream
hja2016_031,161,Hyporheic
hja2016_032,54,Hyporheic
hja2016_035,192,Hyporheic
hja2016_037,43,Hyporheic
hja2016_040,190,Hyporheic
hja2016_042,165,Stream
hja2016_043,KC-2,Hyporheic
hja2016_044,156,Stream
hja2016_049,67,Stream
hja2016_050,165,Hyporheic
hja2016_052,163,Hyporheic
hja2016_056,KC-1,Hyporheic
hja2016_057,71,Hyporheic
hja2016_059,KC-2,Stream
hja2016_062,WS3-3,Hyporheic
hja2016_064,WS3-4,Stream
hja2016_065,68,Hyporheic
hja2016_066,49,Hyporheic
hja2016_070,56,Hyporheic
hja2016_071,164,Hyporheic
hja2016_075,260,Hyporheic
hja2016_078,CC-1,Hyporheic
hja2016_079,64,Hyporheic
hja2016_080,360,Hyporheic
hja2016_081,160,Hyporheic
hja2016_084,177,Hyporheic
hja2016_099,162,Stream
hja2016_100,64,Stream
hja2016_101,58,Stream
hja2016_102,73,Hyporheic
hja2016_103,260,Stream
hja2016_105,178,Stream
hja2016_106,170,Stream
hja2016_107,57,Hyporheic
hja2016_109,169,Stream
hja2016_110,76,Hyporheic
hja2016_111,160,Stream
hja2016_114,WS1-5,Stream
hja2016_116,53,Stream
hja2016_119,56,Stream
hja2016_121,84,Hyporheic
hja2016_122,45,Sediment
hja2016_123,54,Sediment
hja2016_125,56,Sediment
hja2016_126,58,Sediment
hja2016_127,60,Sediment
hja2016_128,68,Sediment
hja2016_129,72,Sediment
hja2016_131,74,Sediment
hja2016_132,84,Sediment
hja2016_133,161,Sediment
hja2016_135,169,Sediment
hja2016_136,190,Sediment
hja2016_139,CC-2,Sediment
hja2016_140,CC-3,Sediment
hja2016_141,CC-4,Sediment
hja2016_142,KC-1,Sediment
hja2016_144,KC-3,Sediment
hja2016_145,155,Sediment
hja2016_146,156,Sediment
hja2016_147,163,Sediment
hja2016_148,165,Sediment
hja2016_149,170,Sediment
hja2016_150,53,Sediment
hja2016_151,64,Sediment
hja2016_152,66,Sediment
hja2016_155,82,Sediment
hja2016_157,43,Sediment
hja2016_158,47,Sediment
hja2016_159,49,Sediment
hja2016_160,50,Sediment
hja2016_161,65,Sediment
hja2016_164,260,Sediment
hja2016_165,360,Sediment
hja2016_166,57,Sediment
hja2016_167,WS3-1,Sediment
hja2016_168,WS3-4,Sediment
hja2016_169,WS3-2,Sediment
hja2016_170,WS3-3,Sediment
hja2016_171,WS3-5,Sediment
hja2016_174,WS1_S8,Sediment
hja2016_176,WS1-2,Sediment
hja2016_177,WS1-3,Sediment
hja2016_179,WS1-5,Sediment
hja2016_180,WS1-6,Sediment
hja2016_181,177,Sediment
hja2016_183,HJA-2016_soil_01,Terrestrial soil
hja2016_184,HJA-2016_soil_03,Terrestrial soil
hja2016_185,HJA-2016_soil_04,Terrestrial soil
hja2016_188,HJA-2016_soil_07,Terrestrial soil
hja2016_189,HJA-2016_soil_08,Terrestrial soil
hja2016_190,HJA-2016_soil_09,Terrestrial soil
hja2016_191,HJA-2016_soil_10,Terrestrial soil
hja2016_193,HJA-2016_soil_12,Terrestrial soil
hja2016_194,HJA-2016_soil_13,Terrestrial soil
hja2016_195,HJA-2016_soil_14,Terrestrial soil
hja2016_196,HJA-2016_soil_16,Terrestrial soil
hja2016_197,HJA-2016_soil_17,Terrestrial soil
hja2016_198,HJA-2016_soil_18,Terrestrial soil
hja2016_199,HJA-2016_soil_19,Terrestrial soil